Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.58329,0.65212,1.0658,0,0,0,41.61,5.8669,-4.7843E-05,-2.3842E-08,7.1963,1.877E-07,1.5502,0,0,0,0,0,0,package://bexter_dummy_urdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bexter_dummy_urdf/meshes/base_link.STL,,body_env-1;link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-3.8722E-05,0.026725,-0.0011003,0,0,0,0.10747,3.0053E-05,-1.8688E-08,-1.4411E-07,1.7362E-05,7.7363E-08,2.8037E-05,0,0,0,0,0,0,package://bexter_dummy_urdf/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bexter_dummy_urdf/meshes/link_1.STL,,link2-1,Origin_joint0,Axis_joint0,joint0,revolute,0.43204,-1.1835,0.85662,1.5708,0,3.0727,base_link,0,1,0,1.5,1.9,-2.61,2.61,,,,,,,,
link_2,0.0064234,-0.098979,-0.00044329,0,0,0,0.092465,9.2514E-05,4.2585E-06,-2.5701E-07,2.7193E-05,-2.9389E-07,8.8807E-05,0,0,0,0,0,0,package://bexter_dummy_urdf/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bexter_dummy_urdf/meshes/link_2.STL,,link3-1,Origin_joint1,Axis_joint1,joint1,revolute,0,0.01,0,3.1371,0.00014488,-3.0768,link_1,0.068848,0,0.99763,1.5,1.9,-2.61,2.61,,,,,,,,
end_effector,0.11395,-0.0026249,-0.0082787,0,0,0,0.28572,7.2014E-05,1.9139E-06,5.6288E-06,0.00015447,-1.2954E-07,0.00015208,0,0,0,0,0,0,package://bexter_dummy_urdf/meshes/end_effector.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bexter_dummy_urdf/meshes/end_effector.STL,,end_effector-1,Origin_end_effector,Axis_end_effector,end_effector,revolute,0.013043,-0.20096,-0.0009001,0.006038,-0.00026465,0.087604,link_2,0.068848,0,0.99763,1.5,1.9,-2.61,2.61,,,,,,,,
